objectid,filename,title,creator,publisherpublication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
josephy0001,https://josephylibrary.blogspot.com/2019/06/fourth-of-july.html,Fourth of July,Rich Wandschneider,Rich Wandschneider,,2019-06-28,"Blog entry from June 28, 2019",Colville Reservation;Albert Andrews;Fourth of July;Redstar;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/fourth-of-july.html,blog post,record,url,eng,,
josephy0002,https://josephylibrary.blogspot.com/2019/06/mohawk-code-talkers.html,Mohawk Code Talkers,Rich Wandschneider,Rich Wandschneider,,2019-06-08,"Blog entry from June 8, 2019",Chester Nez;Louis Oakes;Mohawk code talkers;Hearbeat of Wounded Knee;David Treuer;navajo code talkers;vanishing Indian,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/mohawk-code-talkers.html,blog post,record,url,eng,,
josephy0003,https://josephylibrary.blogspot.com/2019/03/josephs-last-visit-1900.html,Indian photos in the exhibit,Rich Wandschneider,Rich Wandschneider,,2019-03-05,"Blog entry from March 5, 2019",assimilation;Edward Sheriff Curtis;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/03/josephs-last-visit-1900.html,blog post,record,url,eng,,
josephy0004,https://josephylibrary.blogspot.com/2019/01/photo-exhibit-at-josephy-center.html,Photo Exhibit at the Josephy Center,Rich Wandschneider,Rich Wandschneider,,2019-01-31,"Blog entry from January 31, 2019",Wallowa History Center;Eagle Cap;Wallowa County;Wallowa County;Mazama,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/01/photo-exhibit-at-josephy-center.html,blog post,record,url,eng,,
josephy0005,https://josephylibrary.blogspot.com/2018/12/at-mid-winter.html,At Mid-winter,Rich Wandschneider,Rich Wandschneider,,2018-12-23,"Blog entry from December 23, 2018",Palestine;Alvin Josephy;'youth exchange and study programs';American Indian;YES,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/at-mid-winter.html,blog post,record,url,eng,,
josephy0006,https://josephylibrary.blogspot.com/2018/12/invisible-indians-invisible-nez-perce.html,Invisible Indians; Invisible Nez Perce,Rich Wandschneider,Rich Wandschneider,,2018-12-04,"Blog entry from December 4, 2018",T.T;Grace Bartlett;Alvin Josephy;America in 1492;Wallowa Lake;Geer;Nez Perce;Fifty Years in Oregon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/invisible-indians-invisible-nez-perce.html,blog post,record,url,eng,,
josephy0007,https://josephylibrary.blogspot.com/2018/11/the-generational-wreckage-of-boarding.html,The Generational Wreckage of Boarding Schools,Rich Wandschneider,Rich Wandschneider,,2018-11-27,"Blog entry from November 27, 2018",Colville Reservation;Thick Dark Fog;Walter Littlemoon;Indian Territory;umatilla reservation;Indian boarding schools;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/the-generational-wreckage-of-boarding.html,blog post,record,url,eng,,
josephy0009,https://josephylibrary.blogspot.com/2018/11/a-pitch-into-future.html,A pitch into the future,Rich Wandschneider,Rich Wandschneider,,2018-11-19,"Blog entry from November 19, 2018",Haruo Aoki;Josephy Center;Alvin Josephy;Wallowa;Doug Hyde;Nez Perce;,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/a-pitch-into-future.html,blog post,record,url,eng,,
josephy0010,https://josephylibrary.blogspot.com/2018/11/lessons-from-redstars.html,Lessons from the Redstars,Rich Wandschneider,Rich Wandschneider,,2018-11-12,"Blog entry from November 12, 2018",Colville Reservation;Lapwai;Wallowa Land Trust;oral tradition;Nespelem;Indian Territory;Bear's Paw;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/lessons-from-redstars.html,blog post,record,url,eng,,
josephy0011,https://josephylibrary.blogspot.com/2018/10/coho-return-to-lostine-river.html,Coho return to the Lostine River!,Rich Wandschneider,Rich Wandschneider,,2018-10-23,"Blog entry from October 23, 2018",1855 treaty;Nez Perce Fisheries;Boldt decision;Coho Salmon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/10/coho-return-to-lostine-river.html,blog post,record,url,eng,,
